"source","target","strength"
1101053,1101053,254851.71
1101053,1101054,13565.2
1101053,1101055,27104.65
1101053,1101056,11761.2
1101053,1101057,9308.62
1101053,1101058,24030.21
1101053,1101060,10846.88
1101053,1101061,133944.69
1101053,1101063,4375.92
1101053,1101064,8194.06
1101053,1101067,1981.98
1101053,1101068,1393.31
1101053,1101069,548.04
1101053,1101070,1346.44
1101053,1101071,2054.73
1101053,1101072,90161.6800000001
1101053,1101073,7205.28
1101053,1102052,57942.01
1101053,1102054,14176.56
1101053,1102055,48235.91
1101053,1102057,4260.59
1101053,1102058,2747.75
1101053,1102059,4449.73
1101053,1102060,6690.58
1101053,1102065,825.05
1101053,1102067,1528.87
1101053,1102068,4268.34
1101053,1102069,2680.73
1101053,1102070,2326.19
1101053,1102071,1658.16
1101053,1102072,1544.84
1101053,1102073,871.36
1101053,1103051,2011.9
1101053,1103052,1728.85
1101053,1103053,4098.57
1101053,1103057,2303.21
1101053,1103058,949.91
1101053,1103059,1396.3
1101053,1103063,4680.34
1101053,1103064,460.15
1101053,1103065,2505.6
1101053,1103066,3083.15
1101053,1103069,3597.36
1101053,1103070,1140.9
1101053,1103071,3179.98
1101053,1103072,3458.51
1101053,1103073,10253.87
1101053,1103074,7552.51
1101053,1104052,1008.36
1101053,1104054,1671.66
1101053,1104055,1546.44
1101053,1104056,2258.53
1101053,1104057,2410.7
1101053,1104058,1012.58
1101053,1104059,1658.49
1101053,1104062,1298.57
1101053,1104065,1088.05
1101053,1104066,1607.08
1101053,1104067,857.94
1101053,1104068,2289.26
1101053,1104069,349.89
1101053,1104070,1270.28
1101053,1104071,3290.08
1101053,1104072,2069.3
1101053,1104073,3341.92
1101053,1105053,1679.56
1101053,1105054,980.33
1101053,1105055,626.92
1101053,1105056,900.21
1101053,1105057,609.78
1101053,1105058,1081.66
1101053,1105059,844.01
1101053,1105060,1038.92
1101053,1105061,1356.55
1101053,1105062,1589.56
1101053,1105063,2291.02
1101053,1105064,919.47
1101053,1105065,844.66
1101053,1105066,1514.63
1101053,1105067,1056.14
1101053,1106071,1164.26
1101053,1106072,1289.37
1101053,1106073,1121.72
1101053,1106080,1800.18
1101053,1106081,4214.73
1101053,1106082,3336.85
1101053,1106083,2561.09
1101053,1106084,761.78
1101053,1106086,1633.01
1101053,1106087,1802.77
1101053,1106088,1732.68
1101053,1106089,1643.11
1101053,1106090,1457.98
1101053,1106091,2270.83
1101053,1107052,602.05
1101053,1107054,514.21
1101053,1107055,270.76
1101053,1107057,1034.96
1101053,1107059,581.72
1101053,1107060,1056.74
1101053,1107061,467.73
1101053,1107062,924.1
1101053,1107064,1144.21
1101053,1107065,767.28
1101053,1107068,482.52
1101053,1107069,1901.93
1101053,1107070,806.6
1101053,1107071,822.05
1101053,1107072,820.23
1101053,1107073,1094.56
1101053,1108058,1243.47
1101053,1108059,2287.54
1101053,1108060,1982.15
1101053,1108061,2418.64
1101053,1108062,1988.86
1101053,1108063,2879.83
1101053,1108064,2126.7
1101053,1108065,2508.84
1101053,1108066,3014.41
1101053,1108068,1616.71
1101053,1108071,1727.13
1101053,1108072,1444.14
1101053,1108076,1374.74
1101053,1108077,474.08
1101053,1108078,610.87
1101053,1108081,13473.86
1101053,1108082,3734.49
1101053,1108083,4211.46
1101053,1108084,2718.48
1101053,1108085,1283.27
1101053,1109060,1192.81
1101053,1109061,927.26
1101053,1109062,808.19
1101053,1109063,1161.39
1101053,1109064,996
1101053,1109065,1373.39
1101053,1109069,1522.46
1101053,1109070,1737.93
1101053,1109071,2462.11
1101053,1109072,2393.13
1101053,1109073,2093.23
1101053,1109074,1610.94
1101053,1109075,1919.14
1101053,1110051,832.69
1101053,1110052,1132.21
1101053,1110053,1161.43
1101053,1110054,1146.04
1101053,1110055,1087.33
1101053,1110056,468.41
1101053,1110057,768.1
1101053,1110059,1504.63
1101053,1110060,1498.94
1101053,1110061,246.98
1101053,1110062,1871.54
1101053,1110063,1091.65
1101053,1110064,752.99
1101053,1110065,645.82
1101053,1111051,1350.79
1101053,1111052,1413.25
1101053,1111053,1266.81
1101053,1111056,1507.24
1101053,1111058,1462.88
1101053,1111059,503.5
1101053,1111060,1282.35
1101053,1111061,965.09
1101053,1111064,660.9
1101053,1111065,1553.24
1101053,1111066,1942.61
1101053,1111069,975.27
1101053,1111072,1290.6
1101053,1111073,833.71
1101053,1111074,457.31
1101053,1111076,764.97
1101053,1111077,2103.78
1101053,1111078,1523.03
1101053,1111079,1663.54
1101053,1112051,9376.49
1101053,1112052,7780.51
1101053,1112055,4121.62
1101053,1112056,2770.24
1101053,1112057,3200.66
1101053,1112058,8268.98
1101053,1112059,4856.19
1101053,1112060,2551.54
1101053,1112065,2831.41
1101053,1112066,2038.68
1101053,1112067,1246.99
1101053,1112068,1173.91
1101053,1112071,11767.03
1101053,1112072,3490.4
1101053,1112073,2420.49
1101053,1112074,3534.5
1101053,1113052,15173.85
1101053,1113062,11494.9
1101053,1113064,5752.15
1101053,1113065,3816.77
1101053,1113066,5598.36
1101053,1113068,6540.04
1101053,1113069,1800.02
1101053,1113070,2319.14
1101053,1113071,1715.05
1101053,1113072,3411.52
1101053,1113073,36871.49
1101053,1113074,29763.52
1101053,1113075,16292.59
1101053,1113076,8576.6
1101053,1114059,5773.27
1101053,1114060,3856.21
1101053,1114061,3328.79
1101053,1114063,2874.91
1101053,1114066,11626.23
1101053,1114068,1898.24
1101053,1114069,1972.85
1101053,1114070,1407.84
1101053,1114071,2618.75
1101053,1114072,2385.06
1101053,1114073,4019.02
1101053,1114074,5564.3
1101053,1114075,4511.26
1101053,1114076,4133.29
1101053,1114077,11492.29
1101053,1114078,6617.55
1101053,1115051,2944.89
1101053,1115052,1455.12
1101053,1115053,539.43
1101053,1115054,1067.16
1101053,1115057,356.77
1101053,1115058,509.16
1101053,1115059,377.38
1101053,1115060,262.12
1101053,1115061,258.35
1101053,1115062,277.82
1101053,1115063,750.69
1101053,1115064,502.33
1101053,1115065,948.33
1101053,1115066,1837.75
1101053,1115069,1278.16
1101053,1115070,1328.51
1101053,1115071,2238.42
1101053,1115072,2503.73
1101053,1116051,1892.73
1101053,1116052,1609.27
1101053,1116053,925.93
1101053,1116054,2589.74
1101053,1116055,1439.4
1101053,1116057,577.07
1101053,1116058,977.44
1101053,1116059,490.68
1101053,1116061,1216.57
1101053,1116063,2358.65
1101053,1116064,2785.3
1101053,1116065,842.05
1101053,1116066,725.59
1101053,1116067,1551.92
1101053,1116069,2023.01
1101053,1116070,1334.15
1101053,1116071,643.78
1101053,1116072,1146.17
1101053,1116073,2566.12
1101053,1116074,1893.41
1101053,1117051,2174.59
1101053,1117052,579.84
1101053,1117054,1604.71
1101053,1117055,537.99
1101053,1117056,1646.22
1101053,1117061,929.83
1101053,1117062,587.42
1101053,1117064,691.98
1101053,1117065,429.24
1101053,1117067,507.81
1101053,1117068,1678.52
1101053,1117069,827.92
1101053,1117070,180.45
1101053,1117071,1159.83
1101053,1117072,1153.12
1101053,1118051,1946.17
1101053,1118052,1242.77
1101053,1118053,222.23
1101053,1118054,326.19
1101053,1118055,192.15
1101053,1118057,647.23
1101053,1118058,381.38
1101053,1118059,449.22
1101053,1118060,165.96
1101053,1118061,69.31
1101053,1119054,20044.24
1101053,1119055,2474.04
1101053,1119056,2262.58
1101053,1119061,1557.68
1101053,1119062,1980
1101053,1119063,1744.72
1101053,1119065,351.5
1101053,1119066,607.24
1101053,1119067,106.19
1101053,1119068,1061.47
1101053,1119069,624.79
1101053,1119070,554.56
1101053,1119071,678.95
1101053,1119072,809.66
1101053,1119073,1718.4
1101053,1119074,5697
1101053,1119075,1462.81
1101053,1119076,2371.97
1101053,1120052,991.25
1101053,1120053,3051.67
1101053,1120054,899.13
1101053,1120055,458.83
1101053,1120056,1185.84
1101053,1120063,1297.1
1101053,1120065,710.9
1101053,1120066,728.65
1101053,1120067,502.73
1101053,1120068,1957.42
1101053,1120069,623.48
1101053,1120070,1160.78
1101053,1120071,2205.34
1101053,1120072,1412.7
1101053,1120073,1644.64
1101053,1121052,685.91
1101053,1121054,471.52
1101053,1121057,1093.83
1101053,1121058,1281.48
1101053,1121061,442.75
1101053,1121062,979.47
1101053,1121063,1359.19
1101053,1121064,816.56
1101053,1121065,283.51
1101053,1121066,688.51
1101053,1121068,419.79
1101053,1121069,1044.02
1101053,1121071,206.93
1101053,1121072,795.52
1101053,1121073,1627.39
1101053,1121078,1089.89
1101053,1121079,817.52
1101053,1121080,1275.62
1101053,1121081,416.36
1101053,1121082,378.47
1101053,1121083,786.44
1101053,1122051,2999.27
1101053,1122052,3141.05
1101053,1122053,8178.58
1101053,1122054,3560.85
1101053,1122055,3378.5
1101053,1122056,874.17
1101053,1122057,2819.28
1101053,1122058,2309.15
1101053,1122059,1350.08
1101053,1122060,5725.78
1101053,1122061,1174.64
1101053,1122062,1080.18
1101053,1122063,888.07
1101053,1122064,674.25
1101053,1122065,2652.21
1101053,1122066,3160.13
1101053,1122067,1996.14
1101053,1122068,967.78
1101053,1123051,5442.38
1101053,1123052,3339.68
1101053,1123053,3521.05
1101053,1123058,3111.56
1101053,1123059,2505.58
1101053,1123060,1944.32
1101053,1123063,1982.03
1101053,1123064,7436.07
1101053,1123065,1904.66
1101053,1123066,2431.34
1101053,1123067,2450.44
1101053,1123068,721.7
1101053,1123071,674.91
1101053,1123072,1378.47
1101053,1123073,501.88
1101053,1123074,755.22
