"source","target","strength"
1101053,1101053,9278782.37
1101053,1101054,536288.31
1101053,1101055,936482.47
1101053,1101056,449747.53
1101053,1101057,330949.94
1101053,1101058,849103.46
1101053,1101060,391709.98
1101053,1101061,4684066.33
1101053,1101063,174290.57
1101053,1101064,325941.95
1101053,1101067,61764.09
1101053,1101068,57252.04
1101053,1101069,23193.91
1101053,1101070,41468.22
1101053,1101071,77807.2
1101053,1101072,3319327.33
1101053,1101073,282586.03
1101053,1102052,1961480.15
1101053,1102054,552231.76
1101053,1102055,1770830.59
1101053,1102057,147456.81
1101053,1102058,99500.65
1101053,1102059,179287.32
1101053,1102060,211520.7
1101053,1102065,27003.21
1101053,1102067,63001.15
1101053,1102068,134093.98
1101053,1102069,100489.27
1101053,1102070,73769.99
1101053,1102071,67762.2
1101053,1102072,58048.88
1101053,1102073,36145.31
1101053,1103051,76052.26
1101053,1103052,76313.51
1101053,1103053,168671.2
1101053,1103057,81628.02
1101053,1103058,35681.84
1101053,1103059,46513.43
1101053,1103063,169434.04
1101053,1103064,15649.25
1101053,1103065,78132.72
1101053,1103066,106376.59
1101053,1103069,140545.22
1101053,1103070,43815.17
1101053,1103071,130210.02
1101053,1103072,124753.53
1101053,1103073,379211.35
1101053,1103074,260983.53
1101053,1104052,32742.12
1101053,1104054,65759.92
1101053,1104055,52317.41
1101053,1104056,71274.54
1101053,1104057,84397.53
1101053,1104058,34612.26
1101053,1104059,52825.01
1101053,1104062,49889.97
1101053,1104065,40346.98
1101053,1104066,54823.48
1101053,1104067,33421.1
1101053,1104068,70435.77
1101053,1104069,13652.55
1101053,1104070,41869.35
1101053,1104071,111081.47
1101053,1104072,79596.91
1101053,1104073,118933.78
1101053,1105053,64017.1
1101053,1105054,30923.56
1101053,1105055,23179.62
1101053,1105056,34993.03
1101053,1105057,19905.67
1101053,1105058,39662.07
1101053,1105059,38288.43
1101053,1105060,42393.67
1101053,1105061,49925.48
1101053,1105062,56681.92
1101053,1105063,87895.53
1101053,1105064,32341.73
1101053,1105065,35811.46
1101053,1105066,55172.72
1101053,1105067,37748.42
1101053,1106071,45581.68
1101053,1106072,54935.96
1101053,1106073,36814.18
1101053,1106080,58101.18
1101053,1106081,149351.44
1101053,1106082,120390.19
1101053,1106083,98655.58
1101053,1106084,30512.08
1101053,1106086,46563.02
1101053,1106087,69799.67
1101053,1106088,61534.85
1101053,1106089,67062.13
1101053,1106090,44698.35
1101053,1106091,89010.23
1101053,1107052,27016.11
1101053,1107054,20472.68
1101053,1107055,12556.64
1101053,1107057,33348.69
1101053,1107059,24146.17
1101053,1107060,48914.49
1101053,1107061,18078.08
1101053,1107062,39619.25
1101053,1107064,38603.83
1101053,1107065,28095.75
1101053,1107068,17981.58
1101053,1107069,60880.46
1101053,1107070,25318.91
1101053,1107071,34280.49
1101053,1107072,22006.16
1101053,1107073,47067.35
1101053,1108058,48178.39
1101053,1108059,73598.07
1101053,1108060,87415.15
1101053,1108061,88092.6
1101053,1108062,63004.27
1101053,1108063,107053.99
1101053,1108064,80086.15
1101053,1108065,91454.84
1101053,1108066,121706.04
1101053,1108068,60181.13
1101053,1108071,61585.17
1101053,1108072,56842.37
1101053,1108076,46392.85
1101053,1108077,24100.3
1101053,1108078,20226.05
1101053,1108081,443717.67
1101053,1108082,145563.92
1101053,1108083,151518.04
1101053,1108084,97906.84
1101053,1108085,58311.17
1101053,1109060,47048.76
1101053,1109061,31596.21
1101053,1109062,26415.63
1101053,1109063,37635.85
1101053,1109064,40370.91
1101053,1109065,52767.66
1101053,1109069,54852.96
1101053,1109070,57838.44
1101053,1109071,95285
1101053,1109072,86967.21
1101053,1109073,83056.36
1101053,1109074,54937.51
1101053,1109075,65678.56
1101053,1110051,34052.43
1101053,1110052,37507.53
1101053,1110053,34907.33
1101053,1110054,40899.22
1101053,1110055,41779.79
1101053,1110056,13803.1
1101053,1110057,37271.24
1101053,1110059,47242.46
1101053,1110060,60934.38
1101053,1110061,10589.69
1101053,1110062,67847.74
1101053,1110063,43065.38
1101053,1110064,31327.72
1101053,1110065,23075.22
1101053,1111051,53304.41
1101053,1111052,42788.41
1101053,1111053,52751.2
1101053,1111056,60528.64
1101053,1111058,56073.01
1101053,1111059,20132.73
1101053,1111060,41546.72
1101053,1111061,36199.01
1101053,1111064,26144.58
1101053,1111065,50309.87
1101053,1111066,60310.52
1101053,1111069,28803.36
1101053,1111072,48157.36
1101053,1111073,31180.67
1101053,1111074,16305.42
1101053,1111076,26386.25
1101053,1111077,68130.14
1101053,1111078,45174.26
1101053,1111079,60568.79
1101053,1112051,340840.38
1101053,1112052,263781.76
1101053,1112055,169337.92
1101053,1112056,92326.42
1101053,1112057,111780.84
1101053,1112058,299418.31
1101053,1112059,173285.59
