"source","target","strength"
1101053,1101053,2805189.95
1101053,1101054,167675.4
1101053,1101055,296167.01
1101053,1101056,139280.16
1101053,1101057,103409.91
1101053,1101058,265626.32
1101053,1101060,127708.69
1101053,1101061,1461745.51
1101053,1101063,54123.84
1101053,1101064,100209.9
1101053,1101067,23373.18
1101053,1101068,17465.33
1101053,1101069,7278.89
1101053,1101070,14133.59
1101053,1101071,24160.2
1101053,1101072,1015123.31
1101053,1101073,87901.4
1101053,1102052,625107.000000001
1101053,1102054,166533.23
1101053,1102055,518163.18
1101053,1102057,43939.27
1101053,1102058,32299.98
1101053,1102059,52103.49
1101053,1102060,68271.32
1101053,1102065,7807.96
1101053,1102067,18805.52
1101053,1102068,45048.87
1101053,1102069,32223.05
1101053,1102070,24551.11
1101053,1102071,19289.86
1101053,1102072,19085.8
1101053,1102073,10943.14
1101053,1103051,22026.02
1101053,1103052,22497.24
1101053,1103053,49673.89
1101053,1103057,26927.45
1101053,1103058,11025.66
1101053,1103059,14570.34
1101053,1103063,56514.14
1101053,1103064,5092.38
1101053,1103065,24134
1101053,1103066,31792.33
1101053,1103069,41321.6
1101053,1103070,14225.36
1101053,1103071,38792.16
1101053,1103072,40264.5
1101053,1103073,117702.98
1101053,1103074,84800.57
1101053,1104052,10461
1101053,1104054,20530.78
1101053,1104055,16267.44
1101053,1104056,20868.02
1101053,1104057,26697.7
1101053,1104058,11969
1101053,1104059,18048.07
1101053,1104062,16833.97
1101053,1104065,12526.03
1101053,1104066,19083.68
1101053,1104067,10553.64
1101053,1104068,23953.41
1101053,1104069,4133.11
1101053,1104070,14099.02
1101053,1104071,36102.16
1101053,1104072,25489.82
1101053,1104073,39281.19
1101053,1105053,19986.86
1101053,1105054,10566.32
1101053,1105055,6935.54
1101053,1105056,10053.76
1101053,1105057,5776.07
1101053,1105058,12631.3
1101053,1105059,11386.37
1101053,1105060,13445.31
1101053,1105061,15100.37
1101053,1105062,18604.09
1101053,1105063,26555.19
1101053,1105064,9559.32
1101053,1105065,9938.00999999999
1101053,1105066,16473.8
1101053,1105067,11874.64
1101053,1106071,13158.49
1101053,1106072,17549.64
1101053,1106073,12744.7
1101053,1106080,18972.58
1101053,1106081,46333.14
1101053,1106082,39612.24
1101053,1106083,30899.35
1101053,1106084,9393.83
1101053,1106086,16628.54
1101053,1106087,20602.39
1101053,1106088,19476.09
1101053,1106089,20090.82
1101053,1106090,16123.59
1101053,1106091,28680.44
1101053,1107052,7787.79000000001
1101053,1107054,6040.35
1101053,1107055,3579.1
1101053,1107057,10923.64
1101053,1107059,6401.4
1101053,1107060,15163.76
1101053,1107061,5543.09
1101053,1107062,11069.57
1101053,1107064,12201.58
1101053,1107065,9355.79
1101053,1107068,6174.5
1101053,1107069,21441.05
1101053,1107070,9131.36
1101053,1107071,10838.1
1101053,1107072,7096.72
1101053,1107073,14375.34
1101053,1108058,15421.57
1101053,1108059,23993.91
1101053,1108060,23370.33
1101053,1108061,29422.56
1101053,1108062,20753.14
1101053,1108063,34092.17
1101053,1108064,23713.08
1101053,1108065,27075.94
1101053,1108066,37027.26
1101053,1108068,19130.49
1101053,1108071,18799.33
1101053,1108072,17527.25
1101053,1108076,15230.68
1101053,1108077,6296.3
1101053,1108078,6423.17
1101053,1108081,150098.58
1101053,1108082,44144.43
1101053,1108083,45508.91
1101053,1108084,31113.39
1101053,1108085,17497.82
1101053,1109060,14123.65
1101053,1109061,11071.7
1101053,1109062,8583.37000000001
1101053,1109063,12060.14
1101053,1109064,12349.2
1101053,1109065,15388.79
1101053,1109069,17230.01
1101053,1109070,18363.64
1101053,1109071,30056.13
1101053,1109072,26134.31
1101053,1109073,25480.79
1101053,1109074,17325.1
1101053,1109075,21851.28
1101053,1110051,9619.44
1101053,1110052,11731.78
1101053,1110053,13056.27
1101053,1110054,13740.66
1101053,1110055,13041.11
1101053,1110056,5070.49
1101053,1110057,10220.74
1101053,1110059,15995.43
1101053,1110060,19838.64
1101053,1110061,3035.3
1101053,1110062,20994.85
1101053,1110063,12487.51
1101053,1110064,9146.11
1101053,1110065,6785.65
1101053,1111051,15179.25
1101053,1111052,15834.01
1101053,1111053,16355.24
1101053,1111056,18485.26
1101053,1111058,16981.44
1101053,1111059,6318.95
1101053,1111060,14493.07
1101053,1111061,11470.74
1101053,1111064,7562.29
1101053,1111065,16534.18
1101053,1111066,19849.31
1101053,1111069,9669.98000000001
1101053,1111072,15396.6
1101053,1111073,9399.85
1101053,1111074,5375.51
1101053,1111076,8647.9
1101053,1111077,22709.37
1101053,1111078,16729.44
1101053,1111079,18745.06
1101053,1112051,107245.93
1101053,1112052,84896.07
1101053,1112055,49614.03
1101053,1112056,29367.77
1101053,1112057,36052.49
1101053,1112058,92742.55
1101053,1112059,56929.61
1101053,1112060,27653.8
1101053,1112065,33418.92
1101053,1112066,21320.59
1101053,1112067,14140.95
1101053,1112068,13011.99
1101053,1112071,136376.9
1101053,1112072,41224.03
1101053,1112073,28004.27
1101053,1112074,42730.24
1101053,1113052,179882.72
1101053,1113062,136677.52
1101053,1113064,61356.0300000001
1101053,1113065,44972.02
1101053,1113066,66293.31
1101053,1113068,75110.87
1101053,1113069,20081.06
1101053,1113070,31229.77
1101053,1113071,20072.09
1101053,1113072,37644.12
1101053,1113073,412157.02
1101053,1113074,351340.92
1101053,1113075,187786.01
1101053,1113076,98325.3099999999
1101053,1114059,61376.23
1101053,1114060,43835.82
1101053,1114061,34149.11
1101053,1114063,29516.14
1101053,1114066,126776.6
1101053,1114068,22151.24
1101053,1114069,23601.96
1101053,1114070,17431.14
1101053,1114071,30385.96
1101053,1114072,27521.75
1101053,1114073,49919.95
1101053,1114074,60887.57
1101053,1114075,49875.1200000001
1101053,1114076,45890.65
1101053,1114077,131115.64
1101053,1114078,72566.27
1101053,1115051,35668.01
1101053,1115052,18687.02
1101053,1115053,5568.24
1101053,1115054,13657.43
1101053,1115057,4778.82
1101053,1115058,4468.79
1101053,1115059,4625.13
1101053,1115060,3001.95
1101053,1115061,3510.27
1101053,1115062,2970.55
1101053,1115063,8807.39
1101053,1115064,5811.24
1101053,1115065,9702.78
1101053,1115066,22632.74
1101053,1115069,15922.33
1101053,1115070,15833.38
1101053,1115071,26368.14
1101053,1115072,30279.46
1101053,1116051,22460.89
1101053,1116052,16837.22
1101053,1116053,11421.5
1101053,1116054,27670.66
1101053,1116055,17768.36
1101053,1116057,6116.27
1101053,1116058,11008.62
1101053,1116059,7329.97
1101053,1116061,13754.33
1101053,1116063,26722.59
1101053,1116064,29277.88
1101053,1116065,10387.73
1101053,1116066,7919.15
1101053,1116067,18321.13
1101053,1116069,23782.53
1101053,1116070,15275.29
1101053,1116071,10026.27
1101053,1116072,13230.24
1101053,1116073,24901.93
1101053,1116074,19893.54
1101053,1117051,24748.93
1101053,1117052,7328.7
1101053,1117054,18094.77
1101053,1117055,6598.72
1101053,1117056,19352.1
1101053,1117061,10290.25
1101053,1117062,5680.95
1101053,1117064,8271.8
1101053,1117065,4653.76
1101053,1117067,5023.01
1101053,1117068,19682.04
1101053,1117069,9532.39
1101053,1117070,1611.63
1101053,1117071,13218.07
1101053,1117072,12209.3
1101053,1118051,20517.87
1101053,1118052,14307.5
1101053,1118053,2149.32
1101053,1118054,4479.85
1101053,1118055,2616.92
1101053,1118057,6731.15
1101053,1118058,4906.82
1101053,1118059,5016.37
1101053,1118060,1677.91
1101053,1118061,1221.28
1101053,1119054,214806.53
1101053,1119055,29555.42
1101053,1119056,28350.69
1101053,1119061,20408.05
1101053,1119062,24127.29
1101053,1119063,17905.56
1101053,1119065,3802.29
1101053,1119066,8353.19
